Name,Gender,Education,Last_Company,Email,LinkedIn,Phone_Number,Nationality,Designation,Degrees,Years_of_Experience,Skills,Path,APPLICANT NAME,ACCEPT/REJECT,REASON
Mei Chen.,Female,"Bachelor of Science in Computer Science, Tsinghua University, Beijing, China, 2022",Innovative Tech Solutions,mei.chen@example.com,linkedin.com/in/meichen,+86 138 0000 0000,Chinese,Software Development Intern,Bachelor of Science in Computer Science.,2.5 years,"1. HTML5
2. CSS3
3. JavaScript
4. React.js
5. Node.js
6. Express.js
7. RESTful API design
8. MongoDB
9. MySQL
10. Git
11. GitHub
12. AWS
13. Heroku
14. Responsive design principles
15. Single-page application (SPA) development",Senior Full Stack Developer_6.docx,,,
Ali Al-Sulaiti,Male,"Bachelor of Science in Computer Engineering, Qatar University, Doha, Qatar, 2017",Vodafone Qatar.,ali.alsulaiti@example.com,https://www.linkedin.com/in/alialsulaiti-webdev,+974 5555 1234,Qatari,Web Developer,Bachelor of Science in Computer Engineering,9 years,"1. HTML5
2. CSS3
3. ES6+ JavaScript
4. Jest (JavaScript testing)
5. Selenium (automated web testing)
6. Angular (JavaScript framework)
7. React.js (JavaScript library)
8. React hooks
9. Redux (state management library)
10. Node.js (server-side programming)
11. PHP (server-side programming)
12. Python (server-side programming)
13. Express.js (Node.js framework)
14. Django (Python framework)
15. MySQL (SQL database)
16. PostgreSQL (SQL database)
17. MongoDB (NoSQL database)
18. SQL database design
19. Relational database querying
20. Document-based data modeling
21. Performance optimization
22. Test-driven development (TDD)
23. Debugging tools and techniques",WebDeveloper_4.docx,Ali Al-Sulaiti,Accept,Displays strong front-end development skills
Ali Al-Sulaiti,Male,"Bachelor of Science in Computer Engineering, Qatar University, Doha, Qatar, 2017",Vodafone Qatar.,ali.alsulaiti@example.com,https://www.linkedin.com/in/alialsulaiti-webdev,+974 5555 1234,Qatari,Web Developer,Bachelor of Science in Computer Engineering,9 years,"1. HTML5
2. CSS3
3. ES6+ JavaScript
4. Jest (JavaScript testing)
5. Selenium (automated web testing)
6. Angular (JavaScript framework)
7. React.js (JavaScript library)
8. React hooks
9. Redux (state management library)
10. Node.js (server-side programming)
11. PHP (server-side programming)
12. Python (server-side programming)
13. Express.js (Node.js framework)
14. Django (Python framework)
15. MySQL (SQL database)
16. PostgreSQL (SQL database)
17. MongoDB (NoSQL database)
18. SQL database design
19. Relational database querying
20. Document-based data modeling
21. Performance optimization
22. Test-driven development (TDD)
23. Debugging tools and techniques",WebDeveloper_4.docx,Ali Al-Sulaiti,Reject,Skill set not satisfactory
Mehmet Akın,Male,"Master of Science in Computer Science, Bilkent University, Ankara, Turkey, 2016 
Bachelor of Science in Computer Engineering, Boğaziçi University, Istanbul, Turkey, 2014",Turkcell.,mehmet.akin@example.com,linkedin.com/in/mehmetakin-softwaredev,+90 555 123 4567,Turkish,Senior Software Developer,"Master of Science in Computer Science 
Bachelor of Science in Computer Engineering",11.5 years,"1. Java
2. C#
3. Python
4. JavaScript
5. Spring Boot
6..NET Core
7. Django
8. React
9. Vue.js
10. Angular
11. PostgreSQL
12. MySQL
13. MongoDB
14. Redis
15. Docker
16. Kubernetes
17. Jenkins
18. Git
19. AWS
20. Azure
21. Google Cloud Platform",Software Developer_15.docx,Mehmet Akın,Accept,Displays strong problem solving skills
Mehmet Akın,Male,"Master of Science in Computer Science, Bilkent University, Ankara, Turkey, 2016 
Bachelor of Science in Computer Engineering, Boğaziçi University, Istanbul, Turkey, 2014",Turkcell.,mehmet.akin@example.com,linkedin.com/in/mehmetakin-softwaredev,+90 555 123 4567,Turkish,Senior Software Developer,"Master of Science in Computer Science 
Bachelor of Science in Computer Engineering",11.5 years,"1. Java
2. C#
3. Python
4. JavaScript
5. Spring Boot
6..NET Core
7. Django
8. React
9. Vue.js
10. Angular
11. PostgreSQL
12. MySQL
13. MongoDB
14. Redis
15. Docker
16. Kubernetes
17. Jenkins
18. Git
19. AWS
20. Azure
21. Google Cloud Platform",Software Developer_15.docx,Mehmet Akın,Reject,Number of professional years exceeds the required
Ahmad bin Razak,Male,"Bachelor of Engineering in Software Engineering, Universiti Teknologi MARA (UiTM), Shah Alam, Selangor, Malaysia, 2014",iFlix,ahmad.razak@example.com,linkedin.com/in/ahmadbinrazak-dev,+60 19-876 5432,Malaysian,Senior Software Developer,Bachelor of Engineering in Software Engineering,1.5 years,"1. Java
2. C#
3. Python
4. JavaScript
5. React.js
6. Angular
7. Node.js
8. Docker
9. Kubernetes
10. Jenkins
11. Ansible
12. Prometheus
13. Azure
14. Google Cloud Platform
15. AWS
16. Object-oriented programming
17. Functional programming
18. CI/CD pipelines
19. Automation
20. Monitoring",Software Developer_20.docx,Ahmad bin Razak,Reject,Professional experience does not meet the required one
Ahmad bin Razak,Male,"Bachelor of Engineering in Software Engineering, Universiti Teknologi MARA (UiTM), Shah Alam, Selangor, Malaysia, 2014",iFlix,ahmad.razak@example.com,linkedin.com/in/ahmadbinrazak-dev,+60 19-876 5432,Malaysian,Senior Software Developer,Bachelor of Engineering in Software Engineering,1.5 years,"1. Java
2. C#
3. Python
4. JavaScript
5. React.js
6. Angular
7. Node.js
8. Docker
9. Kubernetes
10. Jenkins
11. Ansible
12. Prometheus
13. Azure
14. Google Cloud Platform
15. AWS
16. Object-oriented programming
17. Functional programming
18. CI/CD pipelines
19. Automation
20. Monitoring",Software Developer_20.docx,Ahmad bin Razak,Reject,Professional experience exceeds the required one
Faisal Al-Azmi,Male,"1. Master of Science in Computer Science, Kuwait University, Kuwait City, Kuwait, 2018
2. Bachelor of Science in Information Technology, Gulf University for Science and Technology, Kuwait City, Kuwait, 2015",Kuwait Finance House.,faisal.alazmi@example.com,linkedin.com/in/faisalalazmi-webdev,+965 500 1234,Kuwaiti,Senior Web Developer.,"1. Master of Science in Computer Science 
2. Bachelor of Science in Information Technology",8.5 years,"1. HTML5
2. CSS3
3. JavaScript
4. React.js
5. Angular
6. Node.js
7. Express
8. Python
9. Django
10. PHP
11. Laravel
12. MySQL
13. PostgreSQL
14. MongoDB
15. Agile methodologies (Scrum and Kanban)
16. Continuous Integration/Continuous Deployment (CI/CD)
17. Jenkins
18. GitHub Actions
19. Caching
20. Lazy loading
21. Code splitting
22. Agile project management
23. Scrum
24. Kanban
25. GitHub
26. Jenkins",WebDeveloper_9.docx,Faisal Al-Azmi,Accept,Displayed admirable problem solving skills
Faisal Al-Azmi,Male,"1. Master of Science in Computer Science, Kuwait University, Kuwait City, Kuwait, 2018
2. Bachelor of Science in Information Technology, Gulf University for Science and Technology, Kuwait City, Kuwait, 2015",Kuwait Finance House.,faisal.alazmi@example.com,linkedin.com/in/faisalalazmi-webdev,+965 500 1234,Kuwaiti,Senior Web Developer.,"1. Master of Science in Computer Science 
2. Bachelor of Science in Information Technology",8.5 years,"1. HTML5
2. CSS3
3. JavaScript
4. React.js
5. Angular
6. Node.js
7. Express
8. Python
9. Django
10. PHP
11. Laravel
12. MySQL
13. PostgreSQL
14. MongoDB
15. Agile methodologies (Scrum and Kanban)
16. Continuous Integration/Continuous Deployment (CI/CD)
17. Jenkins
18. GitHub Actions
19. Caching
20. Lazy loading
21. Code splitting
22. Agile project management
23. Scrum
24. Kanban
25. GitHub
26. Jenkins",WebDeveloper_9.docx,Faisal Al-Azmi,Reject,Insufficient display of software development skills 
Faisal Al-Azmi,Male,"1. Master of Science in Computer Science, Kuwait University, Kuwait City, Kuwait, 2018
2. Bachelor of Science in Information Technology, Gulf University for Science and Technology, Kuwait City, Kuwait, 2015",Kuwait Finance House.,faisal.alazmi@example.com,linkedin.com/in/faisalalazmi-webdev,+965 500 1234,Kuwaiti,Senior Web Developer.,"1. Master of Science in Computer Science 
2. Bachelor of Science in Information Technology",8.5 years,"1. HTML5
2. CSS3
3. JavaScript
4. React.js
5. Angular
6. Node.js
7. Express
8. Python
9. Django
10. PHP
11. Laravel
12. MySQL
13. PostgreSQL
14. MongoDB
15. Agile methodologies (Scrum and Kanban)
16. Continuous Integration/Continuous Deployment (CI/CD)
17. Jenkins
18. GitHub Actions
19. Caching
20. Lazy loading
21. Code splitting
22. Agile project management
23. Scrum
24. Kanban
25. GitHub
26. Jenkins",WebDeveloper_9.docx,Faisal Al-Azmi,Accept,Skill set matches the required one
Li Huiying,Female,"Master of Science in Computer Science, National University of Singapore (NUS), Singapore, 2016
Bachelor of Engineering in Computer Engineering, Nanyang Technological University (NTU), Singapore, 2014",Sea Group.,li.huiying@example.com,https://www.linkedin.com/in/lihuiying-dev,+65 9123 4567,Singaporean,Senior Software Developer.,"1. Master of Science in Computer Science 
2. Bachelor of Engineering in Computer Engineering",8.583 years.,"1. Java
2. Python
3. JavaScript
4. Spring Boot
5. Django
6. React
7. AWS
8. Azure
9. GCP
10. Docker
11. Kubernetes
12. Jenkins
13. GitLab CI
14. Prometheus
15. Grafana
16. MySQL
17. PostgreSQL
18. MongoDB
19. DynamoDB
20. SQL
21. NoSQL
22. CI/CD pipeline development
23. Cloud-native solutions
24. Microservices architecture
25. Scalable software architectures
26. Performance optimization
27. Data integration
28. Predictive analytics
29. Real-time stock tracking
30. Order management

Note that some of these skills may be related or overlap, but I've tried to list them as distinct skills.",Software Developer_23.docx,Li Huiying,Reject,Professional experience does not meet the required one
Li Huiying,Female,"Master of Science in Computer Science, National University of Singapore (NUS), Singapore, 2016
Bachelor of Engineering in Computer Engineering, Nanyang Technological University (NTU), Singapore, 2014",Sea Group.,li.huiying@example.com,https://www.linkedin.com/in/lihuiying-dev,+65 9123 4567,Singaporean,Senior Software Developer.,"1. Master of Science in Computer Science 
2. Bachelor of Engineering in Computer Engineering",8.583 years.,"1. Java
2. Python
3. JavaScript
4. Spring Boot
5. Django
6. React
7. AWS
8. Azure
9. GCP
10. Docker
11. Kubernetes
12. Jenkins
13. GitLab CI
14. Prometheus
15. Grafana
16. MySQL
17. PostgreSQL
18. MongoDB
19. DynamoDB
20. SQL
21. NoSQL
22. CI/CD pipeline development
23. Cloud-native solutions
24. Microservices architecture
25. Scalable software architectures
26. Performance optimization
27. Data integration
28. Predictive analytics
29. Real-time stock tracking
30. Order management

Note that some of these skills may be related or overlap, but I've tried to list them as distinct skills.",Software Developer_23.docx,Li Huiying,Reject,Professional level exceeds the required one
Laila Al-Saud,Female,"Bachelor of Science in Software Engineering, King Saud University, Riyadh, Saudi Arabia, 2018",Tech Innovate,laila.alsaud@example.com,linkedin.com/in/lailaalsaudwebdev,+966 500 555 0102,Saudi Arabian,Web Developer,Bachelor of Science in Software Engineering.,5 years,"1. HTML5
2. CSS3
3. JavaScript (ES6+)
4. React
5. Node.js
6. Express
7. MySQL
8. PostgreSQL
9. MongoDB
10. Docker
11. AWS
12. Azure
13. OAuth
14. Encryption techniques
15. Secure coding practices
16. Jest (automated testing framework)
17. PyTest (automated testing framework)
18. Vue.js
19. Angular
20. GraphQL
21. RESTful API development
22. Continuous Integration and Deployment (CI/CD) pipelines
23. Agile methodologies
24. Waterfall methodologies",Mid-Level Web Developer (Arab)_.docx,Laila Al-Saud,Reject,Lacks the required professional experience
Laila Al-Saud,Female,"Bachelor of Science in Software Engineering, King Saud University, Riyadh, Saudi Arabia, 2018",Tech Innovate,laila.alsaud@example.com,linkedin.com/in/lailaalsaudwebdev,+966 500 555 0102,Saudi Arabian,Web Developer,Bachelor of Science in Software Engineering.,5 years,"1. HTML5
2. CSS3
3. JavaScript (ES6+)
4. React
5. Node.js
6. Express
7. MySQL
8. PostgreSQL
9. MongoDB
10. Docker
11. AWS
12. Azure
13. OAuth
14. Encryption techniques
15. Secure coding practices
16. Jest (automated testing framework)
17. PyTest (automated testing framework)
18. Vue.js
19. Angular
20. GraphQL
21. RESTful API development
22. Continuous Integration and Deployment (CI/CD) pipelines
23. Agile methodologies
24. Waterfall methodologies",Mid-Level Web Developer (Arab)_.docx,Laila Al-Saud,Accept,Has met the minimum number of years of working experience 
Jay Patel,Male,"Bachelor of Science in Computer Science, University of California, Berkeley, 2019",Tech Innovations Inc.,jay.patel@example.com,https://www.linkedin.com/in/jaypatelwebdev,+1 555-2020,American,Senior Web Developer.,Bachelor of Science in Computer Science.,25 years.,"1. HTML5
2. CSS3
3. JavaScript (ES6+)
4. Bootstrap
5. Flexbox
6. React
7. PHP
8. ASP.NET
9. MySQL
10. PostgreSQL
11. SQL
12. OAuth2
13. JWT
14. Git
15. Docker
16. Jenkins
17. Agile methodology
18. Continuous Integration and Deployment (CI/CD) pipelines
19. Version control
20. Containerization",Resume for Web Developer Position.docx,Jay Patel,Reject,number of years in professional experience is insufficient
Jay Patel,Male,"Bachelor of Science in Computer Science, University of California, Berkeley, 2019",Tech Innovations Inc.,jay.patel@example.com,https://www.linkedin.com/in/jaypatelwebdev,+1 555-2020,American,Senior Web Developer.,Bachelor of Science in Computer Science.,25 years.,"1. HTML5
2. CSS3
3. JavaScript (ES6+)
4. Bootstrap
5. Flexbox
6. React
7. PHP
8. ASP.NET
9. MySQL
10. PostgreSQL
11. SQL
12. OAuth2
13. JWT
14. Git
15. Docker
16. Jenkins
17. Agile methodology
18. Continuous Integration and Deployment (CI/CD) pipelines
19. Version control
20. Containerization",Resume for Web Developer Position.docx,Jay Patel,Accept,Has the required work experience
Maya Gupta,Female,"Master of Science in Software Engineering, Indian Institute of Technology, Delhi, 2018 
- Specialization: Cloud Computing and Distributed Systems
- Thesis: ""Optimization Strategies for Microservices Architectures on Cloud Platforms""

Bachelor of Engineering in Computer Science, National Institute of Engineering, Mysore, 2016
- Relevant Courses: Data Structures and Algorithms, Network Security, Software Development Lifecycle",NextGen Software,maya.gupta@example.com,linkedin.com/in/mayaguptacloud,+91 99999 56789,Indian,Cloud Solutions Software Engineer.,"Master of Science in Software Engineering 
Bachelor of Engineering in Computer Science",6.25 years,"1. Proficiency in AWS
2. Proficiency in Azure
3. Proficiency in Google Cloud Platform
4. Proficiency in EC2
5. Proficiency in S3
6. Proficiency in Lambda
7. Proficiency in Azure Functions
8. Proficiency in Google App Engine
9. Proficiency in Java
10. Proficiency in Python
11. Proficiency in Go
12. Proficiency in Bash
13. Proficiency in PowerShell
14. Proficiency in Docker
15. Proficiency in Kubernetes
16. Proficiency in Jenkins
17. Proficiency in Terraform
18. Expertise in microservices architecture
19. Knowledge of data structures and algorithms
20. Knowledge of network security
21. Knowledge of software development lifecycle
22. Knowledge of DevOps tools
23. Knowledge of continuous integration
24. Knowledge of infrastructure as code (IaC)
25. Knowledge of containerization and orchestration",Cloud Solutions Software Engineer.docx,Maya Gupta,Reject,Professional experience is not enough
Maya Gupta,Female,"Master of Science in Software Engineering, Indian Institute of Technology, Delhi, 2018 
- Specialization: Cloud Computing and Distributed Systems
- Thesis: ""Optimization Strategies for Microservices Architectures on Cloud Platforms""

Bachelor of Engineering in Computer Science, National Institute of Engineering, Mysore, 2016
- Relevant Courses: Data Structures and Algorithms, Network Security, Software Development Lifecycle",NextGen Software,maya.gupta@example.com,linkedin.com/in/mayaguptacloud,+91 99999 56789,Indian,Cloud Solutions Software Engineer.,"Master of Science in Software Engineering 
Bachelor of Engineering in Computer Science",6.25 years,"1. Proficiency in AWS
2. Proficiency in Azure
3. Proficiency in Google Cloud Platform
4. Proficiency in EC2
5. Proficiency in S3
6. Proficiency in Lambda
7. Proficiency in Azure Functions
8. Proficiency in Google App Engine
9. Proficiency in Java
10. Proficiency in Python
11. Proficiency in Go
12. Proficiency in Bash
13. Proficiency in PowerShell
14. Proficiency in Docker
15. Proficiency in Kubernetes
16. Proficiency in Jenkins
17. Proficiency in Terraform
18. Expertise in microservices architecture
19. Knowledge of data structures and algorithms
20. Knowledge of network security
21. Knowledge of software development lifecycle
22. Knowledge of DevOps tools
23. Knowledge of continuous integration
24. Knowledge of infrastructure as code (IaC)
25. Knowledge of containerization and orchestration",Cloud Solutions Software Engineer.docx,Maya Gupta,Accept,Has correct academic background
